p1,p2,l1,l2,hard_classes,hard_a,hard_b,hard_c,hard_d,soft_a,soft_b,soft_c,soft_d
0.98,0.741,1,1,3,0,0,1,0,0.005180000000000005,0.014820000000000014,0.25382,0.7261799999999999
0.236,0.131,0,0,0,0,0,0,0,0.6639160000000001,0.100084,0.205084,0.030916
0.302,0.751,0,1,1,1,0,0,0,0.17380199999999998,0.5241979999999999,0.075198,0.226802
0.256,0.391,1,0,2,0,1,0,0,0.453096,0.290904,0.155904,0.100096
0.977,0.442,1,0,2,0,1,0,0,0.012834000000000012,0.010166000000000008,0.545166,0.431834
0.908,0.475,1,1,3,0,0,1,0,0.04829999999999999,0.04369999999999998,0.4767,0.4313
0.373,0.874,0,1,1,1,0,0,0,0.079002,0.547998,0.046998,0.326002
0.205,0.54,0,1,1,1,0,0,0,0.36569999999999997,0.42930000000000007,0.09429999999999998,0.1107
0.318,0.985,0,1,1,1,0,0,0,0.010230000000000008,0.67177,0.004770000000000004,0.31323
0.429,0.29,1,1,3,0,0,1,0,0.40540999999999994,0.16559,0.30458999999999997,0.12440999999999999
0.508,0.213,1,0,2,0,1,0,0,0.387204,0.104796,0.39979600000000004,0.108204
0.216,0.451,1,1,3,0,0,1,0,0.43041599999999997,0.353584,0.11858399999999998,0.097416
0.544,0.726,1,1,3,0,0,1,0,0.124944,0.33105599999999996,0.14905600000000002,0.394944
0.117,0.77,0,1,1,1,0,0,0,0.20309,0.67991,0.02691,0.09009
0.403,0.38,0,0,0,0,0,0,0,0.37013999999999997,0.22686,0.24986000000000003,0.15314
0.409,0.96,0,1,1,1,0,0,0,0.02364000000000002,0.56736,0.016360000000000013,0.39263999999999993
0.299,0.871,0,1,1,1,0,0,0,0.09042900000000001,0.6105710000000001,0.038571,0.26042899999999997
0.509,0.23,1,1,3,0,0,1,0,0.37807,0.11293,0.39193,0.11707000000000001
0.797,0.241,1,0,2,0,1,0,0,0.15407699999999996,0.04892299999999999,0.604923,0.192077
0.3,0.27,0,0,0,0,0,0,0,0.511,0.189,0.219,0.081
0.663,0.971,1,1,3,0,0,1,0,0.009773000000000007,0.32722699999999993,0.01922700000000002,0.643773
0.67,0.78,1,1,3,0,0,1,0,0.07259999999999998,0.25739999999999996,0.1474,0.5226000000000001
0.838,0.445,1,0,2,0,1,0,0,0.08991,0.07209000000000002,0.46508999999999995,0.37290999999999996
0.997,0.387,1,1,3,0,0,1,0,0.0018390000000000017,0.001161000000000001,0.611161,0.385839
0.44,0.628,0,1,1,1,0,0,0,0.20832,0.35168000000000005,0.16368,0.27632
0.182,0.765,0,1,1,1,0,0,0,0.19223,0.62577,0.042769999999999996,0.13923
0.522,0.527,1,1,3,0,0,1,0,0.226094,0.251906,0.246906,0.275094
0.466,0.703,1,1,3,0,0,1,0,0.15859800000000004,0.375402,0.13840200000000003,0.327598
0.547,0.758,1,1,3,0,0,1,0,0.10962599999999999,0.34337399999999996,0.13237400000000002,0.41462600000000005
0.347,0.341,0,0,0,0,0,0,0,0.430327,0.22267300000000004,0.228673,0.118327
0.174,0.978,0,1,1,1,0,0,0,0.018172000000000018,0.8078280000000001,0.0038280000000000033,0.170172
0.348,0.144,1,0,2,0,1,0,0,0.558112,0.093888,0.297888,0.05011199999999999
0.191,0.242,1,0,2,0,1,0,0,0.6132219999999999,0.19577799999999998,0.144778,0.046222
0.201,0.747,0,1,1,1,0,0,0,0.202147,0.596853,0.050853,0.150147
0.568,0.178,1,0,2,0,1,0,0,0.3551040000000001,0.076896,0.466896,0.10110399999999999
0.504,0.502,1,1,3,0,0,1,0,0.247008,0.248992,0.250992,0.253008
0.307,0.669,0,0,0,0,0,0,0,0.229383,0.46361700000000006,0.10161699999999999,0.205383
0.334,0.508,0,0,0,0,0,0,0,0.32767199999999996,0.33832799999999996,0.164328,0.16967200000000002
0.757,0.551,1,1,3,0,0,1,0,0.10910699999999998,0.133893,0.33989299999999995,0.41710700000000006
0.794,0.54,1,1,3,0,0,1,0,0.09475999999999997,0.11123999999999999,0.36524,0.42876000000000003
0.562,0.506,1,1,3,0,0,1,0,0.21637199999999998,0.22162799999999996,0.27762800000000004,0.284372
0.007,0.34,0,0,0,0,0,0,0,0.65538,0.33762000000000003,0.004619999999999999,0.00238
0.988,0.505,1,1,3,0,0,1,0,0.005940000000000005,0.0060600000000000055,0.48906,0.49894
0.456,0.716,1,1,3,0,0,1,0,0.15449600000000002,0.389504,0.129504,0.326496
0.85,0.1,1,0,2,0,1,0,0,0.13500000000000004,0.015000000000000003,0.765,0.085
0.404,0.325,0,1,1,1,0,0,0,0.4023,0.1937,0.27270000000000005,0.1313
0.375,0.011,0,0,0,0,0,0,0,0.618125,0.006874999999999999,0.370875,0.004125
0.205,0.402,0,0,0,0,0,0,0,0.47541,0.31959000000000004,0.12258999999999999,0.08241
0.611,0.85,0,0,0,0,0,0,0,0.05835000000000001,0.33065,0.09165000000000001,0.51935
0.888,0.851,1,1,3,0,0,1,0,0.016688,0.095312,0.132312,0.755688
0.105,0.355,0,0,0,0,0,0,0,0.577275,0.317725,0.067725,0.037274999999999996
0.111,0.66,0,1,1,1,0,0,0,0.30226,0.58674,0.037739999999999996,0.07326
0.575,0.359,1,1,3,0,0,1,0,0.27242500000000003,0.15257500000000002,0.368575,0.20642499999999997
0.706,0.386,1,0,2,0,1,0,0,0.180516,0.11348400000000002,0.433484,0.272516
0.71,0.183,1,0,2,0,1,0,0,0.23693,0.053070000000000006,0.58007,0.12993
0.565,0.118,1,1,3,0,0,1,0,0.38367000000000007,0.05133,0.49832999999999994,0.06667
0.179,0.137,0,0,0,0,0,0,0,0.7085229999999999,0.11247700000000001,0.154477,0.024523
0.06,0.591,0,1,1,1,0,0,0,0.38446,0.5555399999999999,0.02454,0.03546
0.526,0.051,0,0,0,0,0,0,0,0.44982599999999995,0.024173999999999998,0.499174,0.026826
0.059,0.538,0,0,0,0,0,0,0,0.434742,0.5062580000000001,0.027257999999999998,0.031742
0.342,0.069,0,0,0,0,0,0,0,0.612598,0.045402,0.318402,0.023598000000000004
0.58,0.627,0,1,1,1,0,0,0,0.15666000000000002,0.26334,0.21633999999999998,0.36366
0.744,0.614,0,1,1,1,0,0,0,0.098816,0.157184,0.287184,0.456816
0.588,0.121,0,0,0,0,0,0,0,0.362148,0.049852,0.516852,0.07114799999999999
0.67,0.988,0,1,1,1,0,0,0,0.0039600000000000034,0.32603999999999994,0.008040000000000007,0.66196
0.276,0.801,1,1,3,0,0,1,0,0.14407599999999995,0.579924,0.054923999999999994,0.22107600000000002
0.666,0.795,1,1,3,0,0,1,0,0.06846999999999998,0.26553,0.13652999999999998,0.5294700000000001
0.92,0.683,1,1,3,0,0,1,0,0.025359999999999983,0.05463999999999998,0.29163999999999995,0.62836
0.689,0.93,1,1,3,0,0,1,0,0.021769999999999987,0.28923000000000004,0.04822999999999996,0.64077
0.085,0.164,0,0,0,0,0,0,0,0.76494,0.15006,0.07106,0.013940000000000001
0.104,0.451,0,0,0,0,0,0,0,0.49190399999999995,0.404096,0.05709599999999999,0.046904
0.177,0.303,0,1,1,1,0,0,0,0.573631,0.24936899999999998,0.123369,0.053631
0.19,0.643,1,0,2,0,1,0,0,0.28917,0.52083,0.06783,0.12217
0.059,0.524,0,0,0,0,0,0,0,0.447916,0.4930840000000001,0.028083999999999998,0.030916
0.334,0.18,0,0,0,0,0,0,0,0.5461199999999999,0.11987999999999999,0.27388,0.06012
0.03,0.814,0,1,1,1,0,0,0,0.18042000000000005,0.78958,0.005580000000000002,0.024419999999999997
0.995,0.632,1,1,3,0,0,1,0,0.0018400000000000016,0.0031600000000000027,0.36616,0.62884
0.872,0.223,0,0,0,0,0,0,0,0.099456,0.028544,0.677544,0.194456
0.732,0.767,1,1,3,0,0,1,0,0.062444,0.20555600000000002,0.17055599999999999,0.561444
0.918,0.575,1,1,3,0,0,1,0,0.034849999999999985,0.04714999999999998,0.39015000000000005,0.5278499999999999
0.07,0.775,0,1,1,1,0,0,0,0.20924999999999996,0.72075,0.01575,0.05425000000000001
0.489,0.359,0,0,0,0,0,0,0,0.32755100000000004,0.183449,0.313449,0.17555099999999998
0.523,0.399,0,0,0,0,0,0,0,0.28667699999999996,0.190323,0.314323,0.20867700000000003
0.063,0.09,0,0,0,0,0,0,0,0.85267,0.08433,0.05733,0.00567
0.193,0.143,0,0,0,0,0,0,0,0.691599,0.11540099999999998,0.165401,0.027599
0.025,0.665,0,1,1,1,0,0,0,0.32662499999999994,0.648375,0.008374999999999999,0.016625
0.926,0.046,1,0,2,0,1,0,0,0.07059599999999995,0.0034039999999999977,0.883404,0.042596
0.426,0.575,0,1,1,1,0,0,0,0.24395000000000006,0.33005,0.18105000000000002,0.24494999999999997
0.385,0.466,0,0,0,0,0,0,0,0.32841000000000004,0.28659,0.20559000000000002,0.17941000000000001
0.585,0.525,0,0,0,0,0,0,0,0.197125,0.21787500000000004,0.277875,0.307125
0.975,0.018,1,0,2,0,1,0,0,0.02455000000000002,0.00045000000000000037,0.9574499999999999,0.01755
0.844,0.768,1,0,2,0,1,0,0,0.036192,0.11980800000000003,0.19580799999999998,0.648192
0.884,0.825,1,1,3,0,0,1,0,0.020300000000000002,0.0957,0.15470000000000003,0.7293
0.053,0.603,0,1,1,1,0,0,0,0.375959,0.5710409999999999,0.021041,0.031959
0.177,0.161,0,0,0,0,0,0,0,0.6904969999999999,0.132503,0.148503,0.028496999999999998
0.961,0.086,1,1,3,0,0,1,0,0.03564600000000003,0.003354000000000003,0.878354,0.082646
0.374,0.83,0,1,1,1,0,0,0,0.10642000000000003,0.5195799999999999,0.06358000000000001,0.31042
0.275,0.529,0,1,1,1,0,0,0,0.341475,0.383525,0.129525,0.14547500000000002
0.364,0.006,0,0,0,0,0,0,0,0.632184,0.003816,0.36181599999999997,0.002184
0.349,0.239,0,0,0,0,0,0,0,0.49541100000000005,0.155589,0.26558899999999996,0.08341099999999999
0.658,0.129,1,0,2,0,1,0,0,0.297882,0.044118,0.573118,0.08488200000000001
0.595,0.281,1,1,3,0,0,1,0,0.291195,0.11380500000000002,0.427805,0.167195
0.526,0.158,0,0,0,0,0,0,0,0.39910799999999996,0.074892,0.442892,0.083108
0.29,0.24,0,0,0,0,0,0,0,0.5396,0.1704,0.22039999999999998,0.0696
0.46,0.913,1,1,3,0,0,1,0,0.04697999999999999,0.49302000000000007,0.040019999999999986,0.41998
0.379,0.226,0,0,0,0,0,0,0,0.480654,0.140346,0.293346,0.08565400000000001
0.6,0.3,1,1,3,0,0,1,0,0.27999999999999997,0.12,0.42,0.18
0.314,0.138,0,0,0,0,0,0,0,0.591332,0.094668,0.270668,0.043332
0.946,0.366,1,0,2,0,1,0,0,0.03423600000000003,0.019764000000000018,0.599764,0.346236
0.239,0.659,0,1,1,1,0,0,0,0.259501,0.501499,0.08149899999999999,0.157501
0.653,0.187,1,0,2,0,1,0,0,0.28211099999999995,0.06488899999999999,0.5308889999999999,0.12211100000000001
0.689,0.23,1,1,3,0,0,1,0,0.23947000000000004,0.07153000000000001,0.53053,0.15847
0.344,0.149,0,1,1,1,0,0,0,0.558256,0.097744,0.29274399999999995,0.051255999999999996
0.638,0.697,1,1,3,0,0,1,0,0.10968600000000002,0.252314,0.19331400000000004,0.44468599999999997
0.621,0.804,0,1,1,1,0,0,0,0.07428399999999999,0.30471600000000004,0.12171599999999996,0.499284
0.639,0.912,1,1,3,0,0,1,0,0.031767999999999984,0.329232,0.05623199999999998,0.5827680000000001
0.451,0.393,0,0,0,0,0,0,0,0.33324299999999996,0.21575699999999998,0.273757,0.177243
0.104,0.316,0,1,1,1,0,0,0,0.612864,0.283136,0.07113599999999999,0.032864
0.841,0.06,1,0,2,0,1,0,0,0.14946,0.009540000000000002,0.7905399999999999,0.05046
0.603,0.048,1,0,2,0,1,0,0,0.377944,0.019056,0.574056,0.028944
0.807,0.051,1,0,2,0,1,0,0,0.18315699999999993,0.009842999999999998,0.765843,0.041157
0.095,0.384,0,1,1,1,0,0,0,0.55748,0.34752,0.05852,0.03648
0.561,0.873,0,1,1,1,0,0,0,0.055753,0.38324699999999995,0.071247,0.48975300000000005
0.171,0.673,0,0,0,0,0,0,0,0.27108299999999996,0.557917,0.055916999999999994,0.11508300000000002
0.612,0.908,1,1,3,0,0,1,0,0.03569599999999999,0.352304,0.05630399999999998,0.555696
0.308,0.033,0,0,0,0,0,0,0,0.669164,0.022836,0.297836,0.010164000000000001
0.339,0.387,0,0,0,0,0,0,0,0.405193,0.255807,0.20780700000000002,0.131193
0.296,0.996,0,1,1,1,0,0,0,0.0028160000000000025,0.7011839999999999,0.001184000000000001,0.29481599999999997
0.353,0.172,0,0,0,0,0,0,0,0.5357160000000001,0.111284,0.292284,0.06071599999999999
0.354,0.873,1,0,2,0,1,0,0,0.082042,0.5639580000000001,0.044958,0.309042
0.054,0.484,0,1,1,1,0,0,0,0.488136,0.45786399999999994,0.027864,0.026136
0.469,0.379,1,0,2,0,1,0,0,0.329751,0.201249,0.291249,0.177751
0.424,0.673,1,1,3,0,0,1,0,0.188352,0.38764800000000005,0.13864799999999997,0.285352
0.916,0.649,1,1,3,0,0,1,0,0.029483999999999986,0.05451599999999998,0.32151599999999997,0.594484
0.734,0.544,0,0,0,0,0,0,0,0.121296,0.14470400000000003,0.33470399999999995,0.39929600000000004
0.711,0.082,0,0,0,0,0,0,0,0.26530200000000004,0.023698000000000004,0.652698,0.058302
0.243,0.032,0,0,0,0,0,0,0,0.732776,0.024224,0.235224,0.007776
0.554,0.196,1,0,2,0,1,0,0,0.35858399999999996,0.087416,0.4454160000000001,0.10858400000000001
0.428,0.836,1,1,3,0,0,1,0,0.09380800000000003,0.478192,0.07019200000000002,0.35780799999999996
0.461,0.218,0,0,0,0,0,0,0,0.42149799999999993,0.11750199999999998,0.36050200000000004,0.100498
0.337,0.093,0,0,0,0,0,0,0,0.601341,0.061659000000000005,0.305659,0.031341
0.47,0.569,1,1,3,0,0,1,0,0.22843000000000005,0.30157,0.20257,0.26742999999999995
0.185,0.603,0,0,0,0,0,0,0,0.323555,0.49144499999999997,0.073445,0.111555
0.051,0.499,0,0,0,0,0,0,0,0.47544899999999995,0.473551,0.025550999999999997,0.025449
0.771,0.035,1,0,2,0,1,0,0,0.220985,0.008015,0.744015,0.026985000000000002
0.718,0.335,1,0,2,0,1,0,0,0.18753000000000003,0.09447000000000001,0.47747,0.24053
0.595,0.391,0,0,0,0,0,0,0,0.246645,0.15835500000000002,0.362355,0.232645
0.021,0.59,0,0,0,0,0,0,0,0.40139,0.57761,0.008610000000000001,0.01239
0.515,0.544,0,0,0,0,0,0,0,0.22115999999999997,0.26384,0.23484,0.28016
0.725,0.883,0,1,1,1,0,0,0,0.032175,0.242825,0.084825,0.6401749999999999
0.724,0.331,0,0,0,0,0,0,0,0.18464400000000003,0.091356,0.484356,0.239644
0.052,0.438,0,0,0,0,0,0,0,0.532776,0.415224,0.029224,0.022775999999999998
0.068,0.231,1,0,2,0,1,0,0,0.716708,0.21529199999999998,0.052292000000000005,0.015708000000000003
0.057,0.332,0,0,0,0,0,0,0,0.6299239999999999,0.313076,0.038076,0.018924000000000003
0.354,0.92,0,1,1,1,0,0,0,0.051679999999999976,0.5943200000000001,0.028319999999999984,0.32567999999999997
0.944,0.893,1,1,3,0,0,1,0,0.005992000000000004,0.050008000000000045,0.10100799999999997,0.842992
0.813,0.457,0,0,0,0,0,0,0,0.10154100000000002,0.08545900000000003,0.44145899999999993,0.371541
0.988,0.145,1,0,2,0,1,0,0,0.010260000000000009,0.0017400000000000015,0.8447399999999999,0.14326
0.005,0.307,0,0,0,0,0,0,0,0.689535,0.305465,0.003465,0.001535
0.245,0.04,0,0,0,0,0,0,0,0.7248,0.0302,0.2352,0.0098
0.587,0.16,1,0,2,0,1,0,0,0.34692,0.06608,0.49307999999999996,0.09392
0.513,0.236,1,1,3,0,0,1,0,0.372068,0.11493199999999999,0.391932,0.121068
0.724,0.663,1,0,2,0,1,0,0,0.093012,0.182988,0.24398799999999995,0.480012
0.631,0.252,0,1,1,1,0,0,0,0.276012,0.092988,0.471988,0.15901200000000001
0.197,0.522,1,0,2,0,1,0,0,0.38383399999999995,0.419166,0.094166,0.10283400000000001
0.102,0.914,0,1,1,1,0,0,0,0.07722799999999998,0.8207720000000001,0.008771999999999995,0.09322799999999999
0.206,0.946,0,1,1,1,0,0,0,0.04287600000000004,0.751124,0.011124000000000009,0.19487599999999997
0.919,0.799,1,1,3,0,0,1,0,0.01628099999999999,0.06471899999999997,0.18471899999999997,0.7342810000000001
0.363,0.69,0,0,0,0,0,0,0,0.19747000000000003,0.43953,0.11253000000000002,0.25046999999999997
0.749,0.952,1,1,3,0,0,1,0,0.01204800000000001,0.238952,0.03595200000000003,0.713048
0.201,0.679,0,1,1,1,0,0,0,0.25647899999999996,0.542521,0.064521,0.13647900000000002
0.696,0.278,1,0,2,0,1,0,0,0.21948800000000002,0.08451200000000002,0.502512,0.193488
0.606,0.811,1,1,3,0,0,1,0,0.07446599999999998,0.31953400000000004,0.11453399999999997,0.491466
0.349,0.047,0,0,0,0,0,0,0,0.620403,0.030597000000000003,0.332597,0.016402999999999997
0.211,0.996,0,1,1,1,0,0,0,0.003156000000000003,0.785844,0.0008440000000000007,0.21015599999999998
0.278,0.703,1,1,3,0,0,1,0,0.214434,0.507566,0.08256600000000001,0.195434
0.079,0.968,0,1,1,1,0,0,0,0.029472000000000026,0.891528,0.0025280000000000025,0.076472
0.446,0.056,0,0,0,0,0,0,0,0.522976,0.031024000000000003,0.421024,0.024976
0.151,0.756,0,1,1,1,0,0,0,0.20715599999999998,0.641844,0.036843999999999995,0.114156
0.537,0.284,0,0,0,0,0,0,0,0.33150799999999997,0.13149199999999997,0.384492,0.152508
0.913,0.093,1,0,2,0,1,0,0,0.07890899999999997,0.008090999999999997,0.828091,0.084909
0.605,0.21,1,1,3,0,0,1,0,0.31205000000000005,0.08295,0.47795,0.12705
0.586,0.249,1,0,2,0,1,0,0,0.310914,0.10308600000000001,0.440086,0.145914
0.077,0.208,1,0,2,0,1,0,0,0.7310160000000001,0.191984,0.060984000000000003,0.016016
0.137,0.627,1,0,2,0,1,0,0,0.321899,0.5411009999999999,0.051101,0.085899
0.103,0.911,0,1,1,1,0,0,0,0.07983299999999997,0.8171670000000001,0.009166999999999996,0.093833
0.132,0.455,0,1,1,1,0,0,0,0.4730599999999999,0.39494,0.07193999999999999,0.06006
0.08,0.218,0,0,0,0,0,0,0,0.7194400000000001,0.20056000000000002,0.06256,0.01744
0.258,0.543,0,1,1,1,0,0,0,0.33909399999999995,0.40290600000000004,0.117906,0.14009400000000002
0.027,0.838,0,1,1,1,0,0,0,0.15762600000000002,0.8153739999999999,0.004374000000000001,0.022626
0.009,0.123,0,0,0,0,0,0,0,0.869107,0.121893,0.007892999999999999,0.001107
0.589,0.942,0,1,1,1,0,0,0,0.023838000000000022,0.387162,0.034162000000000026,0.5548379999999999
0.694,0.481,1,0,2,0,1,0,0,0.15881400000000004,0.147186,0.360186,0.33381399999999994
0.96,0.569,1,0,2,0,1,0,0,0.017240000000000016,0.02276000000000002,0.41376,0.54624
0.709,0.976,0,1,1,1,0,0,0,0.006984000000000007,0.28401600000000005,0.017016000000000014,0.6919839999999999
0.962,0.756,1,0,2,0,1,0,0,0.009272000000000008,0.028728000000000024,0.234728,0.727272
0.003,0.509,0,1,1,1,0,0,0,0.489527,0.507473,0.001473,0.0015270000000000001
0.331,0.146,1,0,2,0,1,0,0,0.571326,0.097674,0.282674,0.048326
0.255,0.04,0,0,0,0,0,0,0,0.7152,0.0298,0.2448,0.0102
0.337,0.619,1,1,3,0,0,1,0,0.252603,0.410397,0.128397,0.208603
0.328,0.047,1,0,2,0,1,0,0,0.6404159999999999,0.031583999999999994,0.312584,0.015416000000000001
0.861,0.608,1,1,3,0,0,1,0,0.05448800000000001,0.084512,0.33751200000000003,0.523488
0.512,0.578,1,1,3,0,0,1,0,0.205936,0.282064,0.21606400000000003,0.295936
0.231,0.392,0,0,0,0,0,0,0,0.467552,0.301448,0.140448,0.09055200000000001
0.929,0.319,1,1,3,0,0,1,0,0.04835099999999997,0.022648999999999985,0.6326490000000001,0.29635100000000003
0.148,0.35,1,1,3,0,0,1,0,0.5538,0.29819999999999997,0.0962,0.05179999999999999
0.207,0.632,0,0,0,0,0,0,0,0.29182400000000003,0.5011760000000001,0.076176,0.130824
0.061,0.232,0,0,0,0,0,0,0,0.721152,0.217848,0.046848,0.014152
0.726,0.655,1,1,3,0,0,1,0,0.09453,0.17947000000000002,0.25046999999999997,0.47553
0.605,0.717,1,1,3,0,0,1,0,0.11178500000000002,0.283215,0.171215,0.433785
0.052,0.888,0,1,1,1,0,0,0,0.10617599999999998,0.841824,0.005823999999999999,0.046176
0.653,0.203,0,0,0,0,0,0,0,0.27655899999999994,0.070441,0.5204409999999999,0.132559
0.608,0.738,1,1,3,0,0,1,0,0.102704,0.289296,0.159296,0.448704
0.266,0.461,0,0,0,0,0,0,0,0.3956259999999999,0.338374,0.14337399999999997,0.12262600000000001
0.111,0.083,1,0,2,0,1,0,0,0.8152130000000001,0.073787,0.101787,0.009213
0.754,0.114,1,0,2,0,1,0,0,0.217956,0.028044,0.668044,0.085956
0.011,0.087,0,0,0,0,0,0,0,0.902957,0.086043,0.010043,0.0009569999999999998
0.682,0.072,1,0,2,0,1,0,0,0.295104,0.022895999999999996,0.6328960000000001,0.049104
0.209,0.884,0,1,1,1,0,0,0,0.091756,0.6992440000000001,0.024243999999999998,0.184756
0.305,0.356,0,1,1,1,0,0,0,0.44758000000000003,0.24742,0.19642,0.10858
0.416,0.263,1,0,2,0,1,0,0,0.43040800000000007,0.15359200000000003,0.306592,0.109408
0.979,0.988,1,1,3,0,0,1,0,0.00025200000000000043,0.02074800000000002,0.01174800000000001,0.967252
0.008,0.009,0,0,0,0,0,0,0,0.983072,0.008927999999999998,0.007928,7.2e-05
0.71,0.435,1,0,2,0,1,0,0,0.16385,0.12615,0.40114999999999995,0.30884999999999996
0.42,0.664,0,0,0,0,0,0,0,0.19488,0.3851200000000001,0.14111999999999997,0.27888
0.626,0.58,1,0,2,0,1,0,0,0.15708000000000003,0.21691999999999997,0.26292000000000004,0.36307999999999996
0.533,0.89,1,1,3,0,0,1,0,0.05136999999999999,0.41563,0.058629999999999995,0.47437
0.581,0.544,1,1,3,0,0,1,0,0.191064,0.22793600000000003,0.26493599999999995,0.316064
0.714,0.593,0,1,1,1,0,0,0,0.11640200000000002,0.169598,0.290598,0.42340199999999995
0.425,0.196,0,0,0,0,0,0,0,0.4623,0.1127,0.3417,0.0833
0.41,0.1,1,0,2,0,1,0,0,0.5310000000000001,0.05900000000000001,0.369,0.041
0.256,0.851,0,1,1,1,0,0,0,0.11085600000000001,0.6331439999999999,0.038144000000000004,0.217856
0.877,0.006,1,0,2,0,1,0,0,0.122262,0.000738,0.871738,0.005262
0.534,0.148,1,0,2,0,1,0,0,0.39703199999999994,0.06896799999999999,0.45496800000000004,0.079032
0.237,0.767,0,1,1,1,0,0,0,0.177779,0.585221,0.05522099999999999,0.181779
0.827,0.516,0,1,1,1,0,0,0,0.08373200000000001,0.08926800000000003,0.40026799999999996,0.426732
0.726,0.352,1,0,2,0,1,0,0,0.17755200000000002,0.096448,0.470448,0.255552
0.066,0.746,1,1,3,0,0,1,0,0.23723599999999997,0.6967639999999999,0.016764,0.049236
0.196,0.878,0,1,1,1,0,0,0,0.09808800000000001,0.7059120000000001,0.023912,0.17208800000000002
0.902,0.972,1,1,3,0,0,1,0,0.0027440000000000016,0.09525599999999998,0.02525600000000002,0.876744
0.048,0.28,0,0,0,0,0,0,0,0.6854399999999999,0.26656,0.03456,0.013440000000000002
0.31,0.166,0,0,0,0,0,0,0,0.57546,0.11454,0.25854,0.051460000000000006
0.309,0.711,0,0,0,0,0,0,0,0.19969900000000004,0.49130100000000004,0.089301,0.21969899999999998
0.913,0.94,1,1,3,0,0,1,0,0.005220000000000002,0.08177999999999996,0.05478000000000005,0.85822
0.312,0.761,0,0,0,0,0,0,0,0.16443199999999997,0.5235679999999999,0.074568,0.237432
0.777,0.877,1,1,3,0,0,1,0,0.027428999999999995,0.19557099999999997,0.095571,0.6814290000000001
0.921,0.381,1,0,2,0,1,0,0,0.04890099999999997,0.030098999999999983,0.570099,0.350901
0.968,0.911,1,1,3,0,0,1,0,0.0028480000000000016,0.02915200000000003,0.08615199999999996,0.881848
0.683,0.69,1,0,2,0,1,0,0,0.09827,0.21872999999999995,0.21173000000000006,0.47127
0.113,0.906,0,0,0,0,0,0,0,0.08337799999999998,0.8036220000000001,0.010621999999999998,0.10237800000000001
0.045,0.848,0,1,1,1,0,0,0,0.14516,0.8098399999999999,0.006840000000000001,0.03816
0.342,0.06,0,0,0,0,0,0,0,0.6185199999999998,0.039479999999999994,0.32148,0.02052
0.593,0.292,0,0,0,0,0,0,0,0.288156,0.118844,0.41984399999999994,0.17315599999999998
0.35,0.023,0,0,0,0,0,0,0,0.63505,0.01495,0.34195,0.00805
0.203,0.773,0,0,0,0,0,0,0,0.18091899999999997,0.616081,0.046081,0.156919
0.04,0.294,0,1,1,1,0,0,0,0.6777599999999999,0.28224,0.028239999999999998,0.01176
0.62,0.773,1,1,3,0,0,1,0,0.08625999999999999,0.29374,0.14073999999999998,0.47926
0.625,0.302,1,0,2,0,1,0,0,0.26175,0.11324999999999999,0.43624999999999997,0.18875
0.048,0.141,0,1,1,1,0,0,0,0.8177679999999999,0.134232,0.041232,0.006768
0.816,0.674,0,1,1,1,0,0,0,0.05998400000000001,0.12401600000000004,0.266016,0.549984
0.615,0.851,0,0,0,0,0,0,0,0.057365000000000006,0.327635,0.09163500000000001,0.523365
0.234,0.129,0,0,0,0,0,0,0,0.6671860000000001,0.098814,0.20381400000000002,0.030186
